"Writers","Scheme","Write Bandwidth (MiB/s)"
384,"FPP -c 1 -s 1m",8538.86545836
384,"FPP -c 1 -s 1m",8077.84316672
384,"FPP -c 1 -s 1m",8639.9330698
384,"FPP -c 1 -s 1m",7413.87066816
384,"FPP -c 1 -s 1m",7864.32350457
384,"FPP -c 1 -s 1m",8428.12571831
384,"FPP -c 1 -s 1m",8814.9592608
384,"FPP -c 1 -s 1m",5479.75687452
384,"FPP -c 1 -s 1m",7794.05024596
384,"FPP -c 1 -s 1m",8662.31957219
384,"FPP -c -1 -s 1m",10293.663694
384,"FPP -c -1 -s 1m",12343.1277233
384,"FPP -c -1 -s 1m",12069.6332585
384,"FPP -c -1 -s 1m",12551.6370032
384,"FPP -c -1 -s 1m",13121.2917767
384,"FPP -c -1 -s 1m",13917.2027559
384,"FPP -c -1 -s 1m",13173.5404676
384,"FPP -c -1 -s 1m",14705.9294322
384,"FPP -c -1 -s 1m",13194.5903581
384,"FPP -c -1 -s 1m",17433.5601062
384,"FPP -c 4 -s 1m",9950.87359742
384,"FPP -c 4 -s 1m",10268.6583121
384,"FPP -c 4 -s 1m",12465.5730267
384,"FPP -c 4 -s 1m",11834.8397498
384,"FPP -c 4 -s 1m",11716.4843388
384,"FPP -c 4 -s 1m",12322.0197844
384,"FPP -c 4 -s 1m",11818.8006418
384,"FPP -c 4 -s 1m",11858.8451986
384,"FPP -c 4 -s 1m",11859.2238471
384,"FPP -c 4 -s 1m",12339.3205817
48,"FPP -c 1 -s 1m",11848.3394672
48,"FPP -c 1 -s 1m",11115.7122324
48,"FPP -c 1 -s 1m",10946.2150353
48,"FPP -c 1 -s 1m",9287.41045112
48,"FPP -c 1 -s 1m",9041.77047137
48,"FPP -c 1 -s 1m",12261.2730126
48,"FPP -c 1 -s 1m",9251.81680757
48,"FPP -c 1 -s 1m",9989.35192515
48,"FPP -c 1 -s 1m",11339.9894637
48,"FPP -c 1 -s 1m",10005.2577022
48,"FPP -c -1 -s 1m",8969.46320278
48,"FPP -c -1 -s 1m",8807.66764029
48,"FPP -c -1 -s 1m",9169.44466209
48,"FPP -c -1 -s 1m",8651.73101392
48,"FPP -c -1 -s 1m",9148.18379995
48,"FPP -c -1 -s 1m",6190.68001781
48,"FPP -c -1 -s 1m",6887.45646423
48,"FPP -c -1 -s 1m",8903.70763407
48,"FPP -c -1 -s 1m",7725.81372507
48,"FPP -c -1 -s 1m",9012.44100694
48,"FPP -c 4 -s 1m",10495.9734051
48,"FPP -c 4 -s 1m",9216.16339341
48,"FPP -c 4 -s 1m",9855.80492836
48,"FPP -c 4 -s 1m",8274.06833042
48,"FPP -c 4 -s 1m",11274.4914716
48,"FPP -c 4 -s 1m",7708.20470695
48,"FPP -c 4 -s 1m",5093.59151945
48,"FPP -c 4 -s 1m",9059.85378359
48,"FPP -c 4 -s 1m",10373.0718558
48,"FPP -c 4 -s 1m",11365.1930147
6144,"FPP -c 1 -s 1m",14424.7894143
6144,"FPP -c 1 -s 1m",14277.7627141
6144,"FPP -c 1 -s 1m",13097.7346324
6144,"FPP -c 1 -s 1m",13560.1931915
6144,"FPP -c 1 -s 1m",13682.7130746
6144,"FPP -c 1 -s 1m",13683.830934
6144,"FPP -c 1 -s 1m",13168.9003604
6144,"FPP -c 1 -s 1m",13452.2427295
6144,"FPP -c 1 -s 1m",13662.5166414
6144,"FPP -c 1 -s 1m",13584.1249613
6144,"FPP -c -1 -s 1m",11374.9135563
6144,"FPP -c -1 -s 1m",12057.2158493
6144,"FPP -c -1 -s 1m",12319.7562965
6144,"FPP -c -1 -s 1m",11152.6562457
6144,"FPP -c -1 -s 1m",11526.4231067
6144,"FPP -c -1 -s 1m",10305.5588059
6144,"FPP -c -1 -s 1m",12942.7802667
6144,"FPP -c -1 -s 1m",11068.4833646
6144,"FPP -c -1 -s 1m",12745.6563771
6144,"FPP -c -1 -s 1m",12706.3641731
6144,"FPP -c 4 -s 1m",9884.45430842
6144,"FPP -c 4 -s 1m",10164.7037789
6144,"FPP -c 4 -s 1m",11219.3576013
6144,"FPP -c 4 -s 1m",11364.0254748
6144,"FPP -c 4 -s 1m",12026.9421865
768,"FPP -c 1 -s 1m",12099.0987812
768,"FPP -c 1 -s 1m",12740.5567723
768,"FPP -c 1 -s 1m",10313.3117529
768,"FPP -c 1 -s 1m",12740.9592169
768,"FPP -c 1 -s 1m",11569.4670115
768,"FPP -c 1 -s 1m",12583.8551238
768,"FPP -c 1 -s 1m",12472.4299362
768,"FPP -c 1 -s 1m",11978.5404378
768,"FPP -c 1 -s 1m",11472.4418354
768,"FPP -c 1 -s 1m",11769.0469285
768,"FPP -c -1 -s 1m",13294.1542716
768,"FPP -c -1 -s 1m",14060.0571697
768,"FPP -c -1 -s 1m",14016.9000539
768,"FPP -c -1 -s 1m",15819.1107178
768,"FPP -c -1 -s 1m",11619.9357683
768,"FPP -c -1 -s 1m",11480.9228824
768,"FPP -c -1 -s 1m",12557.7045922
768,"FPP -c -1 -s 1m",13401.9699478
768,"FPP -c -1 -s 1m",15331.4368606
768,"FPP -c -1 -s 1m",11204.4565663
768,"FPP -c 4 -s 1m",12093.1756873
768,"FPP -c 4 -s 1m",11281.9514388
768,"FPP -c 4 -s 1m",12725.1538554
768,"FPP -c 4 -s 1m",13107.7254982
768,"FPP -c 4 -s 1m",11709.1425995
768,"FPP -c 4 -s 1m",11115.97262
768,"FPP -c 4 -s 1m",11403.7640365
768,"FPP -c 4 -s 1m",11492.9378539
768,"FPP -c 4 -s 1m",11299.0494231
768,"FPP -c 4 -s 1m",12539.4144369
96,"FPP -c 1 -s 1m",13262.1027508
96,"FPP -c 1 -s 1m",6400.29537226
96,"FPP -c 1 -s 1m",11517.8853652
96,"FPP -c 1 -s 1m",6800.37089899
96,"FPP -c 1 -s 1m",8999.68334396
96,"FPP -c 1 -s 1m",10973.805313
96,"FPP -c 1 -s 1m",12489.4791489
96,"FPP -c 1 -s 1m",11716.3525165
96,"FPP -c 1 -s 1m",8538.53863097
96,"FPP -c 1 -s 1m",12127.2843141
96,"FPP -c -1 -s 1m",13966.5320386
96,"FPP -c -1 -s 1m",15170.947766
96,"FPP -c -1 -s 1m",12917.655296
96,"FPP -c -1 -s 1m",12267.2820131
96,"FPP -c -1 -s 1m",15051.2426927
96,"FPP -c -1 -s 1m",7637.67281497
96,"FPP -c -1 -s 1m",12560.1513725
96,"FPP -c -1 -s 1m",7198.28746648
96,"FPP -c -1 -s 1m",8840.55167273
96,"FPP -c -1 -s 1m",14375.521443
96,"FPP -c 4 -s 1m",9299.87364299
96,"FPP -c 4 -s 1m",9071.33184545
96,"FPP -c 4 -s 1m",8913.18472704
96,"FPP -c 4 -s 1m",10611.7600189
96,"FPP -c 4 -s 1m",11069.138723
96,"FPP -c 4 -s 1m",7596.0420371
96,"FPP -c 4 -s 1m",8928.8796051
96,"FPP -c 4 -s 1m",9402.96031252
96,"FPP -c 4 -s 1m",10854.2916911
96,"FPP -c 4 -s 1m",7106.5170074
